id,created_at,favorite_count,retweet_count,text
1493651294082449411,2022-02-15 18:19:53+00:00,3776,769,Tune in as I address bipartisan county officials from around the country at the National Association of Counties 2022 Legislative Conference. https://t.co/BnmV53imKH
1493590621143158794,2022-02-15 14:18:48+00:00,12824,2460,"As we celebrate Black History month, let’s carry forward the work of our lives together — to dismantle systemic racism, to fight for dignity, and to fulfill America’s promise for everyone. https://t.co/Px6e3vBZcC"
1493338006698307586,2022-02-14 21:35:00+00:00,35434,6008,"It’s time we make the super-wealthy and giant corporations pay their fair share in taxes — and then use that money to invest in the middle class.

That’s exactly what my Build Back Better Agenda does."
1493317119966167053,2022-02-14 20:12:00+00:00,38532,4877,"The ads during last night’s Super Bowl were clear: The future of the auto industry is electric. My Administration is making historic investments in electric vehicles and is building a nationwide network of EV chargers — creating good-paying, union jobs."
1493253099145904128,2022-02-14 15:57:36+00:00,181434,9630,"You’re the love of my life and the life of my love, Jilly. Happy Valentine’s Day. https://t.co/bDNWg6gYbW"
1493238818429886464,2022-02-14 15:00:52+00:00,42702,8025,"On February 14th, 2018, a gunman stole the lives of 14 students and 3 educators at Marjory Stoneman Douglas High School. Today we mourn with the Parkland families whose lives were upended and stand with those working to end the epidemic of gun violence. Congress must act."
1493070942695735296,2022-02-14 03:53:47+00:00,65337,5665,"Congrats to the @RamsNFL on your Super Bowl victory — I look forward to having you at the White House. What do you say, @SecondGentleman?"
1492937617826058250,2022-02-13 19:04:00+00:00,23610,2366,Good luck to the @RamsNFL and @Bengals in tonight’s Super Bowl. @FLOTUS and I look forward to cheering you on!
1492868159220731908,2022-02-13 14:27:59+00:00,20382,4070,"This is Joshua. He’s 12 years old and living with type 1 diabetes. Like countless other Americans, his family has to pay thousands of dollars a year for insulin. It’s unacceptable. With my Build Back Better Agenda, we can cap co-pays at $35 for this lifesaving drug. https://t.co/9VYWGR2gye"
1492589827191197705,2022-02-12 20:02:00+00:00,23012,3774,"This week, I met with CEOs to discuss how Build Back Better will lower energy bills, and traveled to Virginia to discuss how it’ll lower the cost of prescription drugs. We’re committed to using every tool we have to lower costs for working families."
1492264247648210946,2022-02-11 22:28:16+00:00,14842,2909,I spoke today with transatlantic leaders to discuss our concerns about Russia’s military build-up around Ukraine. We are united in our diplomatic efforts and deterrence measures and are ready to impose massive economic costs if Russia chooses further aggression. https://t.co/AC9FrTS9qN
1492197908694851587,2022-02-11 18:04:39+00:00,34108,6517,"Here’s the deal: We can lower the cost of prescription drugs, child care, health care, early education, elder care, and so much more. And we can do it without raising taxes on anyone earning less than $400,000 a year.

We’ve just got to pass my Build Back Better Agenda."
1492163129329045508,2022-02-11 15:46:27+00:00,8375,1551,I ran for president because I believed government can still deliver for the people. There is so much more to do — but Democrats and Republicans are proving that we can still come together to deliver important progress for the American people. https://t.co/xKFYqLzPDi
1492139988846354432,2022-02-11 14:14:30+00:00,43257,8093,"Last year, there were 55 Fortune 500 companies that didn’t pay a single cent in taxes. It’s ridiculous.
 
It’s time we make sure they pay their fair share, and then invest that money in the middle class."
